File,Execution Time [sec],Audio Length [sec]
output_9.txt,1.89,8.44
output_9.txt,1.168,5.05
output_9.txt,1.345,5.47
output_9.txt,0.766,2.885
output_9.txt,0.865,3.38
output_9.txt,1.557,6.815
output_9.txt,2.943,14.06
output_9.txt,1.721,7.51
output_9.txt,1.011,3.915
output_9.txt,0.781,2.935
output_9.txt,1.637,6.985
output_9.txt,0.614,2.155
